iter	Passed	Remaining
0	16	16662
1	25	12941
2	34	11388
3	41	10379
4	49	9925
5	58	9715
6	67	9517
7	75	9380
8	84	9359
9	94	9311
10	100	9079
11	109	8985
12	115	8791
13	124	8767
14	132	8723
15	141	8725
16	149	8630
17	157	8618
18	167	8668
19	175	8591
20	182	8518
21	190	8472
22	197	8391
23	205	8344
24	211	8258
25	219	8229
26	226	8177
27	235	8167
28	245	8211
29	255	8264
30	264	8271
31	273	8287
32	289	8475
33	298	8467
34	305	8418
35	313	8386
36	321	8375
37	331	8390
38	339	8364
39	346	8309
40	353	8277
41	360	8228
42	368	8200
43	375	8167
44	382	8125
45	391	8114
46	397	8064
47	406	8066
48	415	8056
49	423	8046
50	430	8015
51	439	8013
52	446	7982
53	454	7956
54	460	7915
55	468	7903
56	476	7885
57	485	7884
58	493	7865
59	502	7880
60	511	7879
61	527	7979
62	534	7951
63	541	7915
64	549	7910
65	558	7903
66	568	7922
67	583	7998
68	593	8009
69	601	7997
70	610	7984
71	619	7985
72	627	7965
73	634	7945
74	642	7923
75	650	7910
76	658	7892
77	666	7873
78	673	7846
79	679	7819
80	687	7801
81	694	7779
82	701	7754
83	709	7733
84	717	7723
85	726	7719
86	734	7707
87	742	7692
88	751	7691
89	762	7704
90	773	7726
91	783	7737
92	792	7732
93	801	7726
94	810	7718
95	819	7713
96	826	7690
97	833	7676
98	841	7661
99	849	7643
100	855	7618
101	865	7615
102	873	7610
103	883	7611
104	892	7609
105	900	7597
106	908	7579
107	916	7567
108	924	7555
109	932	7543
110	939	7527
111	948	7520
112	956	7505
113	964	7493
114	971	7474
115	978	7455
116	985	7438
117	992	7420
118	1000	7403
119	1006	7383
120	1014	7368
121	1021	7353
122	1030	7346
123	1039	7340
124	1046	7327
125	1054	7312
126	1061	7297
127	1069	7282
128	1075	7264
129	1084	7259
130	1092	7246
131	1107	7280
132	1117	7285
133	1124	7269
134	1132	7257
135	1139	7239
136	1151	7252
137	1159	7242
138	1171	7255
139	1180	7248
140	1188	7238
141	1198	7239
142	1206	7233
143	1216	7228
144	1223	7217
145	1233	7213
146	1241	7205
147	1250	7199
148	1258	7187
149	1267	7182
150	1274	7166
151	1282	7154
152	1290	7146
153	1299	7137
154	1307	7126
155	1314	7114
156	1321	7095
157	1329	7083
158	1336	7067
159	1343	7055
160	1350	7037
161	1359	7030
162	1368	7025
163	1377	7020
164	1384	7004
165	1393	7001
166	1403	7001
167	1412	6995
168	1421	6992
169	1432	6991
170	1440	6983
171	1449	6977
172	1456	6964
173	1465	6957
174	1472	6941
175	1481	6935
176	1488	6923
177	1496	6911
178	1504	6900
179	1515	6901
180	1522	6889
181	1531	6882
182	1539	6871
183	1547	6862
184	1554	6849
185	1564	6844
186	1571	6831
187	1579	6819
188	1585	6804
189	1593	6794
190	1601	6783
191	1612	6787
192	1621	6778
193	1628	6764
194	1635	6750
195	1643	6741
196	1651	6729
197	1659	6721
198	1667	6711
199	1674	6697
200	1681	6683
201	1690	6676
202	1700	6674
203	1708	6666
204	1716	6655
205	1724	6646
206	1732	6635
207	1739	6623
208	1748	6619
209	1756	6607
210	1763	6595
211	1770	6580
212	1779	6574
213	1786	6562
214	1795	6555
215	1803	6545
216	1811	6537
217	1818	6524
218	1827	6516
219	1835	6507
220	1843	6497
221	1850	6484
222	1857	6473
223	1865	6461
224	1872	6449
225	1879	6436
226	1889	6435
227	1896	6421
228	1903	6408
229	1910	6396
230	1918	6385
231	1927	6379
232	1935	6371
233	1943	6360
234	1950	6348
235	1957	6337
236	1966	6330
237	1974	6322
238	1982	6313
239	1991	6305
240	2010	6330
241	2017	6320
242	2026	6312
243	2034	6302
244	2043	6296
245	2051	6288
246	2060	6281
247	2068	6272
248	2077	6265
249	2085	6257
250	2099	6265
251	2109	6261
252	2116	6249
253	2125	6242
254	2132	6231
255	2141	6223
256	2149	6215
257	2157	6205
258	2165	6194
259	2173	6186
