,Id,住宅类型,住宅区域,街道接触面积(英尺),住宅面积,街道路面状况,巷子路面状况,住宅形状(大概),住宅现状,水电气,住宅配置,住宅视野,社区,住宅周边1,住宅周边2,适用家庭,住宅房型,装修质量,整体质量,建造年份,法律拆除年份,天花板类型,天花板材料,户外装饰1,户外装饰2,砖墙类型,砖墙面积,户外材料质量,户外装修质量,地下室类型,地下室深度,地下室质量,花园外墙,地下室现状1,地下室一层标准面积,地下室现状2,地下室二层标准面积,地下室建造现状,整体地下室面积,暖气类型,暖气质量,中央空调,电力系统,二楼面积,三楼面积,全低质量面积,户外活动空间面积,全卫地下室,半卫地下室,全卫及以上,半卫及以上,卧室及以上,厨房及以上,厨房质量,总房间量,住宅性能,壁炉数量,壁炉质量,车库类型,车库建造时间,车库装修现状,车位数量,车库面积,车库质量,车库现状,石板路,木板面积,开放式门廊面积,关闭式门廊面积,三季门廊面积,半开放式门廊面积,泳池面积,泳池质量,篱笆质量,其他配置,其他配置的价值,销售月份,销售年份,销售类型,销售状态,SalePrice
0,0.0,5.0,3.0,36.0,327.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,6.0,4.0,104.0,53.0,1.0,1.0,12.0,13.0,1.0,128.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,361.0,5.0,0.0,73.0,179.0,1.0,0.0,1.0,4.0,134.0,232.0,0.0,531.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,89.0,1.0,2.0,220.0,4.0,4.0,2.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,4.0,208500
1,1.0,0.0,3.0,51.0,498.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,24.0,1.0,2.0,0.0,2.0,5.0,7.0,77.0,26.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,482.0,5.0,0.0,167.0,441.0,1.0,0.0,1.0,4.0,427.0,0.0,0.0,259.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,4.0,6.0,1.0,4.0,1.0,62.0,1.0,2.0,149.0,4.0,4.0,2.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,4.0,181500
2,2.0,5.0,3.0,39.0,702.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,6.0,4.0,102.0,52.0,1.0,1.0,12.0,13.0,1.0,104.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,222.0,5.0,0.0,278.0,214.0,1.0,0.0,1.0,4.0,178.0,239.0,0.0,570.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,4.0,6.0,1.0,4.0,1.0,87.0,1.0,2.0,260.0,4.0,4.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,4.0,223500
3,3.0,6.0,3.0,31.0,489.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,5.0,6.0,4.0,19.0,20.0,1.0,1.0,13.0,15.0,2.0,0.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,66.0,5.0,0.0,346.0,117.0,1.0,2.0,1.0,4.0,208.0,180.0,0.0,536.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,5.0,84.0,2.0,3.0,284.0,4.0,4.0,2.0,0.0,24.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,140000
4,4.0,5.0,3.0,55.0,925.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,15.0,2.0,2.0,0.0,5.0,7.0,4.0,101.0,50.0,1.0,1.0,12.0,13.0,1.0,221.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,328.0,5.0,0.0,318.0,370.0,1.0,0.0,1.0,4.0,347.0,320.0,0.0,734.0,1.0,0.0,2.0,1.0,4.0,1.0,2.0,7.0,6.0,1.0,4.0,1.0,86.0,1.0,3.0,380.0,4.0,4.0,2.0,118.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,8.0,4.0,250000
5,5.0,4.0,3.0,56.0,915.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,11.0,2.0,2.0,0.0,0.0,4.0,4.0,94.0,45.0,1.0,1.0,12.0,13.0,2.0,0.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,372.0,5.0,0.0,17.0,140.0,1.0,0.0,1.0,4.0,94.0,80.0,0.0,315.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,1.0,79.0,2.0,2.0,166.0,4.0,4.0,2.0,11.0,20.0,0.0,17.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,3.0,8.0,4.0,143000
6,6.0,0.0,3.0,46.0,552.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,21.0,2.0,2.0,0.0,2.0,7.0,4.0,105.0,55.0,1.0,1.0,12.0,13.0,3.0,123.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,594.0,5.0,0.0,194.0,633.0,1.0,0.0,1.0,4.0,644.0,0.0,0.0,520.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,90.0,1.0,2.0,281.0,4.0,4.0,2.0,163.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,4.0,307000
7,7.0,5.0,3.0,0.0,593.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,5.0,6.0,5.0,74.0,23.0,1.0,1.0,6.0,6.0,3.0,157.0,3.0,4.0,1.0,2.0,3.0,2.0,0.0,436.0,1.0,2.0,120.0,346.0,1.0,0.0,1.0,4.0,317.0,298.0,0.0,701.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,5.0,6.0,2.0,4.0,1.0,59.0,1.0,2.0,170.0,4.0,4.0,2.0,149.0,156.0,94.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,3.0,8.0,4.0,200000
8,8.0,4.0,4.0,22.0,138.0,1.0,0.0,3.0,3.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,6.0,4.0,35.0,0.0,1.0,1.0,3.0,15.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5.0,0.0,5.0,0.0,569.0,237.0,1.0,2.0,1.0,1.0,255.0,177.0,0.0,565.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,6.0,2.0,2.0,4.0,5.0,19.0,2.0,2.0,155.0,1.0,4.0,2.0,40.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,129900
9,9.0,14.0,3.0,21.0,222.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,42.0,0.0,1.0,1.0,8.0,8.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,2.0,433.0,5.0,0.0,67.0,269.0,1.0,0.0,1.0,4.0,295.0,0.0,0.0,146.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,6.0,2.0,4.0,1.0,27.0,1.0,1.0,9.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,118000
